username,date,rawContent,replyCount,retweetCount,likeCount,hashtags,mentionUsers,viewCount
stevekazuo,2023-10-11 04:40:19+00:00,"@T1EETC_NOTICIAS @traficogt No la dejará, como bien dice, si cae se lo lleva a él y muchos más, por eso hay que pedir la salida de Giammattei también.",0,0,0,,"T1EETC_NOTICIAS, traficogt",471.0
Gladys26483741,2023-10-11 04:39:28+00:00,"@traficogt nosotros ya abrimos los ojos, UD es el responsable presidente UD y nadie más por tener un gobierno descarado de corrupción UD tiene que hablar con. los 48 cantones",0,0,1,,traficogt,26.0
Mando6107747648,2023-10-11 04:38:35+00:00,@traficogt https://t.co/ruMNjtTyTO,0,13,30,,traficogt,1998.0
traficogt,2023-10-11 04:36:16+00:00,Mal interlocutor.  Le esperan en la mesa la gente de los 48C.,3,6,15,,,4515.0
DrGiammattei,2023-10-11 04:34:49+00:00,"Señor Presidente electo @BArevalodeLeon, como lo dije en mis palabras a la nación del pasado lunes, como presidente saliente lo invito a un diálogo con el fin de encontrar la hoja de ruta que nos lleve a la conciliación. 

Guatemala necesita avanzar. https://t.co/iqm05gam1h",5965,471,1625,,BArevalodeLeon,1007861.0
traficogt,2023-10-11 04:35:13+00:00,@IsaPaiz_ Al padre lo liberaron porque nadie puso cargos y las lesiones fueron leves.,0,0,12,,IsaPaiz_,2118.0
William97211675,2023-10-11 04:34:46+00:00,@traficogt Perro otro perro mas,0,0,0,,traficogt,85.0
traficogt,2023-10-11 04:32:30+00:00,@MaraFHerrera1 La desesperación se nota en cada esquina de la ciudad.,0,0,0,,MaraFHerrera1,96.0
72elopez,2023-10-11 04:26:40+00:00,@mmendoza_GT @traficogt La señora esta en san juan sac. La politecnica,0,0,0,,"mmendoza_GT, traficogt",8.0
luciatzikin,2023-10-11 04:26:03+00:00,@JLIllescas @traficogt Honestidad ante todo ☺️,0,0,1,,"JLIllescas, traficogt",16.0
traficogt,2023-10-11 04:25:31+00:00,Y viene halloween!  Se les olvidó el halloween!,5,0,3,,,6074.0
